label,followers_count,friends_count,statuses_count,mentions_count,retweet_count,favorite_count,hashtag_count,url_count,verified,location
C,0.0667,-0.5508,-0.0557,0,-0.3407,0.1333,1,1,0,0
C,1.9690,-0.4874,0.3072,0,-0.2660,1.3432,1,1,0,1
C,-0.3019,-0.5249,-1.0625,0,-0.3594,-0.3506,1,1,0,1
S,-0.3105,0.4894,-0.8452,1,3.8453,-0.3506,1,0,0,1
C,-0.3081,-0.2560,0.2897,0,-0.3781,-0.3506,1,1,0,1
C,-0.3081,-0.2560,0.2897,0,-0.3781,-0.3506,1,1,0,1
C,-0.2985,-0.2988,-0.8283,1,-0.3781,-0.3506,1,1,0,1
C,-0.3086,0.4349,-0.8808,0,-0.3781,-0.3506,2,1,0,1
C,-0.2155,-0.5539,0.0958,0,-0.2846,0.3753,1,1,0,1
C,-0.2941,-0.3215,-1.0780,2,7.1716,-0.3506,1,1,0,1
N,-0.3097,0.4159,-0.9634,0,-0.3220,0.3753,1,0,0,1
C,-0.3106,-0.5032,-1.0354,1,-0.3407,-0.3506,2,1,0,1
C,0.0667,-0.5508,-0.0557,0,-0.3407,-0.3506,2,1,0,0
C,1.9690,-0.4874,0.3072,0,-0.3033,0.8592,2,1,0,1
C,-0.3019,-0.5249,-1.0625,0,-0.3781,-0.1087,2,1,0,1
C,-0.3104,-0.2164,0.7799,1,0.4068,-0.3506,1,1,0,0
C,-0.3019,-0.5249,-1.0625,0,-0.3781,-0.3506,2,1,0,1
C,0.0667,-0.5508,-0.0557,0,-0.3594,-0.3506,2,1,0,0
C,1.9690,-0.4874,0.3072,0,-0.3781,0.1333,2,1,0,1
S,-0.3103,-0.2032,-0.7240,1,-0.3033,-0.3506,1,1,0,0
S,-0.3100,-0.2222,-0.5424,1,-0.1351,-0.3506,1,0,0,0
C,-0.3097,-0.4139,-1.0856,2,-0.3781,-0.3506,1,0,0,1
S,-0.3008,1.2199,-0.3701,1,1.1917,-0.3506,1,0,0,1
S,-0.3026,-0.0653,0.4353,1,1.1917,-0.3506,1,0,0,0
C,-0.3086,-0.1968,0.6950,1,-0.3220,-0.3506,1,1,0,1
